Home,Away,Home Points,Away Points,OT
Rangers,Red Wings,3,2,False
Blue Jackets,Canadiens,2,4,False
Predators,Penguins,3,2,True
Devils,Islanders,5,4,False
Wild,Blues,3,1,False
Maple Leafs,Panthers,2,1,True
Oilers,Golden Knights,5,4,True
Jets,Stars,0,2,False
Blackhawks,Kraken,4,3,False
Flyers,Hurricanes,1,4,False
Coyotes,Lightning,3,1,False
Canucks,Ducks,3,1,False
Sharks,Capitals,2,1,False
Senators,Panthers,0,5,False
Avalanche,Lightning,4,1,False
Flames,Golden Knights,2,1,True
Rangers,Sabres,1,5,False
Blue Jackets,Bruins,5,2,False
Predators,Jets,3,2,False
Red Wings,Wild,4,1,False
Blackhawks,Blues,2,4,False
Hurricanes,Blue Jackets,3,2,False
Oilers,Ducks,8,2,False
Sharks,Canucks,4,3,False
Penguins,Maple Leafs,3,2,False
Islanders,Flyers,0,1,True
Kings,Canadiens,4,0,False
Avalanche,Flames,3,1,False
Devils,Sabres,7,2,False
Rangers,Bruins,7,4,False
Golden Knights,Coyotes,0,2,False
Kraken,Canucks,1,5,False
Blues,Predators,3,8,False
Flyers,Rangers,1,3,False
Senators,Islanders,3,5,False
Sharks,Canadiens,2,3,True
Panthers,Jets,0,3,False
Capitals,Oilers,0,5,False
Devils,Blue Jackets,1,2,False
Wild,Avalanche,2,3,False
Blackhawks,Maple Leafs,4,3,True
Hurricanes,Lightning,2,8,False
Stars,Flames,4,7,False
Sabres,Penguins,3,2,False
Bruins,Red Wings,2,5,False
Ducks,Kings,2,5,False
Lightning,Jets,2,3,True
Kraken,Sharks,7,1,False
Penguins,Rangers,0,1,False
Islanders,Flyers,3,2,False
Red Wings,Devils,4,0,False
Stars,Golden Knights,1,2,True
Avalanche,Canucks,5,2,False
Blue Jackets,Blackhawks,7,3,False
Hurricanes,Oilers,6,3,False
Predators,Flames,4,2,False
Capitals,Sabres,4,3,True
Panthers,Bruins,1,3,False
Coyotes,Blues,5,6,False
Ducks,Canadiens,3,4,False
Canucks,Sharks,3,1,False
Panthers,Oilers,5,3,False
Stars,Rangers,6,3,False
Predators,Avalanche,4,3,False
Kraken,Flames,3,4,True
Lightning,Bruins,5,4,True
Coyotes,Kings,1,4,False
Penguins,Golden Knights,3,0,False
Wild,Maple Leafs,3,4,True
Flyers,Blue Jackets,5,2,False
Blackhawks,Sabres,2,3,False
Ducks,Blues,1,3,False
Canucks,Kraken,3,4,False
Flyers,Golden Knights,4,3,True
Devils,Rangers,3,5,False
Senators,Wild,2,1,True
Kings,Blues,5,1,False
Lightning,Oilers,6,4,False
Capitals,Blue Jackets,4,3,False
Stars,Avalanche,3,6,False
Predators,Blackhawks,4,2,False
Hurricanes,Penguins,4,2,False
Flames,Islanders,4,5,True
Bruins,Canadiens,5,2,False
Jets,Coyotes,5,2,False
Red Wings,Maple Leafs,2,3,False
Jets,Sabres,3,2,False
Ducks,Panthers,1,2,False
Sharks,Blues,5,1,False
Penguins,Devils,2,5,False
Kraken,Islanders,4,3,True
Canadiens,Golden Knights,5,6,False
Kings,Panthers,2,1,False
Senators,Red Wings,5,4,True
Blackhawks,Lightning,2,4,False
Flames,Canucks,5,2,False
Blue Jackets,Coyotes,2,3,False
Canucks,Islanders,4,3,True
Oilers,Kraken,4,3,True
Hurricanes,Flyers,1,3,False
Avalanche,Ducks,8,2,False
Capitals,Golden Knights,3,0,False
Blues,Lightning,5,0,False
Jets,Devils,6,3,False
Sharks,Panthers,3,5,False
Blue Jackets,Penguins,3,5,False
Canadiens,Flames,1,2,False
Sabres,Bruins,2,5,False
Stars,Coyotes,4,3,True
Predators,Ducks,2,3,False
Oilers,Islanders,4,1,False
Kraken,Avalanche,1,5,False
Canadiens,Canucks,2,5,False
Wild,Stars,3,8,False
Rangers,Blue Jackets,4,3,True
Panthers,Blackhawks,4,3,False
Ducks,Sharks,4,1,False
Maple Leafs,Canucks,5,2,False
Islanders,Capitals,1,4,False
Kings,Flyers,2,4,False
Kraken,Oilers,1,4,False
Jets,Stars,2,3,False
Red Wings,Blue Jackets,5,4,False
Avalanche,Blues,2,8,False
Lightning,Hurricanes,0,4,False
Senators,Flames,4,1,False
Penguins,Sabres,4,0,False
Canadiens,Bruins,3,2,True
Predators,Coyotes,5,7,False
Golden Knights,Sharks,5,0,False
Devils,Capitals,2,4,False
Panthers,Hurricanes,5,2,False
Maple Leafs,Flames,5,4,True
Sabres,Wild,3,2,False
Ducks,Flyers,3,6,False
Senators,Canucks,2,5,False
Jets,Predators,6,3,False
Rangers,Wild,4,1,False
Kings,Penguins,3,4,True
Sharks,Oilers,3,2,False
Red Wings,Canadiens,2,3,True
Blue Jackets,Stars,2,5,False
Avalanche,Kraken,3,4,False
Lightning,Blackhawks,3,5,False
Bruins,Islanders,5,2,False
Blues,Coyotes,2,1,False
Maple Leafs,Senators,3,6,False
Golden Knights,Kings,1,4,False
Capitals,Panthers,3,4,True
Blues,Jets,2,5,False
Sharks,Flyers,2,1,False
Canadiens,Lightning,3,5,False
Islanders,Wild,2,4,False
Rangers,Red Wings,5,3,False
Avalanche,Devils,6,3,False
Flames,Predators,4,2,False
Hurricanes,Sabres,3,2,True
Coyotes,Kraken,4,3,True
Ducks,Penguins,0,2,False
Maple Leafs,Lightning,6,5,True
Canucks,Oilers,6,2,False
Panthers,Blue Jackets,5,4,True
Stars,Bruins,2,3,False
Blackhawks,Devils,2,4,False
Ducks,Golden Knights,4,2,False
Sharks,Penguins,2,10,False
Senators,Lightning,4,6,False
Blues,Canadiens,6,3,False
Wild,Rangers,5,4,True
Flyers,Kings,0,5,False
Oilers,Predators,2,5,False
Canucks,Stars,2,0,False
Capitals,Blue Jackets,2,1,False
Golden Knights,Avalanche,7,0,False
Blackhawks,Panthers,5,2,False
Islanders,Hurricanes,3,4,True
Kraken,Flames,3,6,False
Maple Leafs,Sabres,4,6,False
Red Wings,Bruins,5,4,False
Coyotes,Jets,3,5,False
Blues,Devils,4,1,False
Sabres,Flyers,1,5,False
Golden Knights,Jets,5,2,False
Sharks,Canucks,1,10,False
Kraken,Predators,4,2,False
Capitals,Islanders,0,3,False
Wild,Devils,3,5,False
Senators,Kings,2,3,False
Red Wings,Panthers,0,2,False
Oilers,Stars,3,4,False
Blue Jackets,Lightning,4,2,False
Rangers,Hurricanes,2,1,False
Bruins,Maple Leafs,3,2,True
Coyotes,Canadiens,3,2,False
Avalanche,Blues,4,1,False
Flames,Stars,3,4,False
Flyers,Sabres,2,5,False
Ducks,Coyotes,4,3,True
Canucks,Predators,5,2,False
Maple Leafs,Kings,1,4,False
Lightning,Kraken,3,4,True
Jets,Rangers,2,3,True
Golden Knights,Canadiens,3,2,True
Islanders,Red Wings,3,4,True
Stars,Blue Jackets,5,3,False
Flyers,Hurricanes,2,3,False
Bruins,Panthers,3,2,True
Coyotes,Blackhawks,8,1,False
Penguins,Ducks,3,4,False
Capitals,Sharks,3,1,False
Devils,Wild,4,3,False
Oilers,Flames,5,2,False
Sabres,Avalanche,4,0,False
Penguins,Senators,2,5,False
Predators,Maple Leafs,3,2,True
Canucks,Rangers,3,4,True
Canadiens,Jets,4,3,True
Kings,Golden Knights,3,4,True
Panthers,Kraken,3,2,False
Blue Jackets,Islanders,0,2,False
Bruins,Red Wings,4,1,False
Flyers,Ducks,4,7,False
Canucks,Blues,5,0,False
Capitals,Wild,3,2,True
Golden Knights,Blackhawks,3,4,True
Hurricanes,Sharks,3,0,False
Devils,Sabres,5,4,False
Coyotes,Kings,4,5,False
Lightning,Sharks,6,0,False
Islanders,Senators,3,2,False
Flyers,Wild,6,2,False
Oilers,Rangers,0,3,False
Red Wings,Jets,1,4,False
Stars,Maple Leafs,1,4,False
Canadiens,Blue Jackets,4,3,True
Penguins,Avalanche,4,0,False
Hurricanes,Kraken,3,2,True
Flames,Blues,0,3,False
Bruins,Ducks,3,4,True
Devils,Capitals,4,6,False
Capitals,Maple Leafs,1,4,False
Jets,Blues,4,2,False
Golden Knights,Flyers,3,2,False
Predators,Canucks,2,3,False
Canadiens,Devils,2,5,False
Panthers,Sharks,3,1,False
Wild,Oilers,7,4,False
Red Wings,Kraken,4,5,True
Penguins,Stars,1,4,False
Islanders,Avalanche,4,7,False
Lightning,Hurricanes,3,0,False
Flames,Rangers,1,3,False
Senators,Sabres,4,6,False
Blackhawks,Bruins,0,3,False
Kings,Coyotes,6,3,False
Blue Jackets,Ducks,2,3,True
Sabres,Canadiens,1,3,False
Red Wings,Flames,6,2,False
Ducks,Bruins,1,3,False
Lightning,Maple Leafs,3,4,True
Blues,Penguins,4,2,False
Predators,Sharks,5,1,False
Kraken,Rangers,1,4,False
Canadiens,Capitals,3,2,True
Panthers,Canucks,3,5,False
Oilers,Jets,2,3,True
Senators,Red Wings,2,5,False
Stars,Flyers,5,4,True
Wild,Blue Jackets,4,5,True
Blackhawks,Golden Knights,3,5,False
Avalanche,Hurricanes,6,4,False
Sabres,Islanders,3,1,False
Kings,Bruins,2,4,False
Coyotes,Ducks,2,1,False
Islanders,Devils,4,5,True
Blue Jackets,Flames,3,1,False
Jets,Golden Knights,3,5,False
Lightning,Canucks,4,3,False
Rangers,Predators,1,4,False
Wild,Kings,3,7,False
Panthers,Maple Leafs,3,1,False
Flyers,Oilers,4,1,False
Avalanche,Blackhawks,4,0,False
Kraken,Hurricanes,7,4,False
Sabres,Flames,3,4,False
Sharks,Bruins,1,3,False
Blues,Coyotes,2,6,False
Ducks,Stars,2,3,False
Senators,Capitals,6,1,False
Red Wings,Penguins,6,3,False
Flyers,Canucks,2,0,False
Canadiens,Wild,2,5,False
Jets,Kings,1,5,False
Predators,Oilers,1,6,False
Golden Knights,Stars,3,2,True
Kraken,Avalanche,1,4,False
Sharks,Hurricanes,3,6,False
Sabres,Lightning,3,2,True
Islanders,Coyotes,1,0,False
Devils,Panthers,3,4,False
Blue Jackets,Red Wings,0,4,False
Maple Leafs,Blackhawks,1,4,False
Capitals,Flames,3,2,True
Rangers,Coyotes,2,1,False
Senators,Lightning,5,2,False
Ducks,Hurricanes,6,3,False
Blues,Kraken,2,1,True
Senators,Flyers,5,2,False
Maple Leafs,Wild,7,4,False
Jets,Panthers,6,4,False
Oilers,Canucks,3,4,False
Red Wings,Lightning,6,4,False
Blue Jackets,Rangers,5,3,False
Sharks,Avalanche,1,2,True
Canadiens,Blackhawks,3,2,False
Kings,Hurricanes,5,6,True
Penguins,Flames,5,2,False
Islanders,Sabres,3,2,False
Bruins,Predators,3,2,False
Golden Knights,Ducks,4,1,False
Capitals,Penguins,0,4,False
Devils,Coyotes,3,4,True
Sharks,Golden Knights,1,4,False
Predators,Kraken,3,0,False
Wild,Panthers,2,0,False
Devils,Red Wings,4,3,False
Stars,Blues,2,1,True
Blue Jackets,Flyers,2,4,False
Sabres,Rangers,1,5,False
Maple Leafs,Canadiens,6,5,True
Canucks,Oilers,8,1,False
Kings,Avalanche,2,5,False
Hurricanes,Senators,5,3,False
Flames,Jets,5,3,False
Bruins,Blackhawks,3,1,False
Golden Knights,Kraken,4,1,False
Lightning,Predators,5,3,False
Penguins,Blackhawks,2,4,False
